Sr No.,Name,Roll No,Branch,Python-1,SQL,Calculus-1,Python-2,Hackathon-1,Calculus-2,SM-1,Linear Algebra,Discrete Mathematics,Hackathon-2,DSA,SM-2
190,Kelly Lee,STU0190,B.Tech AIDS,37.4,47.96,58.69,37.82,33.11,50.85,22.82,22.85,66.98,21.28,66.66,61.56
191,Anna George,STU0191,B.Tech AIML,6.85,33.06,79.85,25.47,38.39,61.55,69.58,43.71,35.06,85.56,93.47,74.47
192,Kathleen Palmer,STU0192,B.Tech CSE,52.13,29.79,29.24,63.06,60.46,85.04,66.26,12.42,76.3,25.05,40.4,56.26
193,Jason Moyer,STU0193,B.Tech CSE,99.89,100.0,65.17,45.42,63.36,72.19,41.98,94.88,55.75,62.44,66.65,60.54
194,Vincent Lowe,STU0194,B.Tech AIML,70.97,34.57,36.04,22.5,60.99,69.47,61.44,91.86,49.86,66.72,22.71,40.32
195,Blake Ramos,STU0195,B.Tech AIML,67.39,71.23,42.65,48.21,12.05,41.07,72.26,64.38,62.52,51.24,50.18,33.49
196,Kelsey Maxwell,STU0196,B.Tech CSE,67.47,60.52,62.3,36.85,0.0,77.43,38.03,28.43,67.34,40.2,76.5,65.43
197,Taylor Watts,STU0197,B.Tech AIML,67.09,15.85,80.3,56.53,40.77,53.58,5.59,60.22,24.27,16.18,11.94,77.82
198,Jennifer Russo,STU0198,B.Tech CSE,34.27,88.34,36.6,7.32,22.09,80.9,46.1,36.29,54.0,62.54,77.93,86.21
199,Kimberly Jensen,STU0199,B.Tech AIML,41.01,16.85,39.66,56.51,25.91,26.07,58.59,48.78,50.82,31.04,44.24,26.89
200,Benjamin Dixon,STU0200,B.Tech CSE,72.25,75.88,3.85,26.76,12.59,33.75,47.91,13.76,26.95,24.9,55.18,51.73
201,Jessica Rivera,STU0201,B.Tech AIDS,31.96,54.42,36.33,43.21,91.84,83.51,17.51,70.74,70.28,21.29,70.47,88.45
202,Denise Dean,STU0202,B.Tech AIDS,21.94,27.06,75.44,56.79,63.79,58.51,59.77,16.84,76.18,79.24,44.27,48.91
203,Sheila Meyer,STU0203,B.Tech CSE,11.72,62.86,64.3,48.45,78.11,41.65,64.12,24.51,49.41,45.64,55.63,40.76
204,Ronnie Rangel,STU0204,B.Tech CSE,46.71,70.65,39.08,9.84,93.74,84.54,17.69,67.24,37.43,56.59,57.36,44.14
205,Barbara Wong,STU0205,B.Tech CSE,30.41,32.74,27.1,29.2,48.32,32.11,67.05,87.18,35.5,55.99,62.49,61.8
206,Jennifer Cook,STU0206,B.Tech CSE,51.9,68.57,62.06,19.06,71.73,72.18,30.92,50.95,67.08,44.77,76.82,100.0
207,Angela Jensen,STU0207,B.Tech AIML,30.35,15.47,57.6,68.04,44.23,86.33,16.53,67.32,34.85,92.98,99.81,30.83
208,Daniel Burnett,STU0208,B.Tech CSE,36.26,71.49,40.32,48.86,50.63,2.01,49.65,32.76,37.67,86.09,18.59,70.33
209,Steven Braun,STU0209,B.Tech CSE,43.03,43.01,69.76,58.5,64.27,74.2,41.72,34.69,22.87,29.36,100.0,81.12
210,Jeffrey Barrett,STU0210,B.Tech CSE,16.22,16.94,62.05,63.68,63.72,43.63,46.86,58.2,52.15,0.0,44.26,28.71
211,John Howard,STU0211,B.Tech AIML,54.38,100.0,59.19,42.16,73.05,62.07,60.5,65.17,100.0,21.73,61.84,26.84
212,Timothy Brown,STU0212,B.Tech AIDS,63.89,27.03,39.57,42.62,74.4,72.96,18.86,51.37,32.26,18.54,44.57,42.29
213,Kristen Bryan,STU0213,B.Tech AIDS,100.0,60.82,15.56,35.88,75.53,100.0,10.35,3.0,96.77,59.74,28.29,63.37
214,Brandon Mendoza,STU0214,B.Tech CSE,0.0,50.08,58.2,73.11,24.65,52.14,26.86,56.38,27.62,39.8,25.1,66.28
215,Pamela Wagner,STU0215,B.Tech AIDS,71.46,44.13,50.96,13.79,42.51,48.74,100.0,22.2,86.6,74.92,57.02,93.97
216,Philip Rhodes,STU0216,B.Tech CSE,59.3,59.73,48.67,80.59,77.41,34.36,17.02,44.93,30.0,48.41,80.94,38.57
217,Louis Hawkins,STU0217,B.Tech AIDS,48.93,51.45,71.21,0.0,34.83,55.28,80.0,37.7,3.09,65.49,34.12,20.26
218,Brad Craig,STU0218,B.Tech CSE,34.39,45.39,34.88,0.0,72.43,81.87,66.29,21.56,44.96,49.84,64.97,66.71
219,Jacob Barnes,STU0219,B.Tech CSE,31.65,52.05,61.43,86.4,67.61,69.73,52.1,85.26,60.24,28.47,85.08,67.45
220,Kristin Miller,STU0220,B.Tech AIDS,38.92,38.01,57.41,61.58,54.93,57.78,92.5,76.79,54.77,73.53,24.19,59.95
221,Adam Smith,STU0221,B.Tech AIDS,95.23,44.55,28.81,33.7,22.76,30.38,40.74,14.86,50.39,72.56,27.31,87.98
222,Travis Murray,STU0222,B.Tech CSE,62.77,75.76,33.55,71.36,22.7,72.26,54.3,63.83,20.61,27.62,64.93,26.29
223,Adam Moore,STU0223,B.Tech AIML,61.58,15.82,71.2,19.19,63.81,65.64,32.58,64.55,56.51,36.53,24.79,0.93
224,Todd Hernandez,STU0224,B.Tech CSE,58.74,10.88,52.38,43.41,66.98,42.45,41.76,68.3,58.38,57.9,61.73,11.61
225,Ethan Kramer,STU0225,B.Tech AIML,68.92,65.31,24.58,43.9,49.02,46.64,58.35,85.78,77.04,17.19,65.55,83.22
226,James Perkins,STU0226,B.Tech CSE,59.67,77.27,100.0,75.59,56.23,76.13,53.62,50.6,41.21,89.09,29.54,88.31
227,Christina Williams,STU0227,B.Tech CSE,62.5,15.02,59.19,0.0,65.64,72.13,35.19,53.09,98.85,37.36,23.53,87.04
228,Jamie Freeman,STU0228,B.Tech AIML,99.06,50.09,75.29,83.54,31.44,37.87,80.77,92.13,64.07,28.0,99.68,36.73
229,Ray Santana,STU0229,B.Tech AIML,41.62,58.56,88.85,71.35,60.37,61.58,51.09,63.95,0.0,42.58,56.03,21.22
230,Christian Clark,STU0230,B.Tech AIML,59.66,44.89,93.89,89.33,38.35,46.23,48.15,38.71,54.88,31.04,21.73,65.57
231,Tammie Moore,STU0231,B.Tech AIDS,65.74,29.89,72.38,34.21,56.33,70.51,49.16,61.37,37.09,45.09,44.85,31.34
232,Stacy Wilson DDS,STU0232,B.Tech AIML,45.58,11.28,37.72,42.88,43.6,43.96,48.46,61.99,71.86,33.76,19.92,23.95
233,Wesley Lewis,STU0233,B.Tech AIML,37.82,41.2,30.75,17.6,38.6,54.54,64.88,36.06,39.68,26.83,49.21,28.79
234,Lori Phillips,STU0234,B.Tech AIML,64.33,5.35,41.01,57.53,54.6,100.0,58.75,24.9,47.61,5.59,47.99,29.17
235,Melissa Martinez,STU0235,B.Tech CSE,72.88,36.26,47.08,34.11,93.47,41.97,95.81,70.35,62.05,59.22,59.84,1.81
236,Jennifer Mason,STU0236,B.Tech AIDS,43.03,71.13,48.78,14.87,48.69,92.6,81.17,48.45,73.79,40.84,7.4,26.89
237,Gene Henry,STU0237,B.Tech CSE,89.07,43.15,43.92,42.5,97.6,90.65,100.0,46.02,57.39,12.08,86.92,20.81
238,Stephanie Davis,STU0238,B.Tech CSE,55.42,22.57,35.28,29.07,34.8,36.52,36.29,70.83,22.38,55.51,80.45,37.17
239,Karen Romero,STU0239,B.Tech AIDS,32.05,44.24,79.49,54.85,36.72,62.1,22.44,67.03,60.22,42.3,29.04,27.83
240,Philip Gonzalez,STU0240,B.Tech CSE,63.37,80.72,34.07,61.46,0.0,35.38,49.22,27.26,26.59,33.31,57.3,45.32
241,Elizabeth Shaffer,STU0241,B.Tech AIDS,0.0,0.0,34.83,61.44,0.0,37.51,36.84,84.71,40.37,59.57,53.53,0.0
242,Sarah Grimes,STU0242,B.Tech AIDS,69.21,55.38,62.71,100.0,0.0,93.12,42.81,57.18,48.86,39.39,35.75,58.24
243,Brittany Neal,STU0243,B.Tech AIML,12.07,68.76,39.6,21.75,38.75,81.43,36.62,58.96,31.73,68.95,67.14,96.22
244,Andrew Pennington,STU0244,B.Tech CSE,45.61,66.72,52.45,82.4,32.03,68.63,45.13,48.4,52.29,56.31,47.09,55.37
245,Jacob Mcintyre,STU0245,B.Tech CSE,89.45,74.64,71.73,38.61,27.77,73.88,71.9,86.82,34.9,44.26,9.01,40.19
246,Joseph Barrett,STU0246,B.Tech AIDS,74.91,38.34,66.01,45.24,58.1,21.31,52.13,0.0,45.33,9.24,80.15,69.44
247,Amber Lee,STU0247,B.Tech AIML,61.67,88.03,26.28,93.68,73.3,44.09,78.39,22.34,29.39,34.79,36.78,23.59
248,Sharon King,STU0248,B.Tech CSE,80.58,43.53,58.81,35.74,4.48,56.75,2.19,48.28,15.79,99.68,72.78,52.64
249,Michael Conrad,STU0249,B.Tech AIDS,81.59,28.84,63.59,55.0,56.6,81.81,68.31,57.22,8.63,26.0,46.93,52.33
250,Andrew Schwartz,STU0250,B.Tech AIDS,21.74,100.0,87.91,65.05,51.8,44.69,26.2,51.94,56.44,18.96,58.35,46.12
251,Andrew Bartlett,STU0251,B.Tech CSE,2.3,28.49,39.66,97.19,63.91,16.61,62.15,11.32,77.07,38.22,47.66,83.14
252,Christine Payne,STU0252,B.Tech CSE,17.82,15.07,35.41,75.96,12.02,0.0,38.72,63.79,80.01,38.42,39.71,78.85
253,Joshua Allen,STU0253,B.Tech CSE,3.26,40.29,54.76,61.23,37.25,50.86,0.0,33.54,61.34,25.44,51.47,61.17
254,Andre Irwin,STU0254,B.Tech CSE,41.44,54.26,25.93,44.83,65.26,53.92,35.34,55.61,67.87,0.0,78.98,41.59
255,Dennis Roman,STU0255,B.Tech AIDS,60.64,79.93,15.71,32.26,42.79,30.41,93.37,28.58,36.11,55.11,19.95,40.11
256,Brooke Bowman,STU0256,B.Tech AIML,57.94,41.68,47.67,36.77,12.14,58.04,93.87,50.46,55.63,67.32,18.27,92.56
257,Brian Burton,STU0257,B.Tech AIDS,55.06,90.8,31.67,95.45,69.38,63.83,55.85,43.79,80.01,53.51,0.82,22.07
258,Janet Gonzalez,STU0258,B.Tech AIML,45.35,57.75,48.59,80.47,1.22,53.59,4.55,68.99,47.64,60.49,28.4,81.99
259,Virginia Michael,STU0259,B.Tech AIML,76.04,64.59,46.76,64.5,32.33,71.39,91.24,76.77,31.76,59.04,17.67,64.31
260,Michael Garcia,STU0260,B.Tech AIML,61.27,3.25,20.96,42.92,42.48,19.76,59.72,56.29,45.14,31.11,76.22,91.39
261,Linda Kelly,STU0261,B.Tech CSE,37.91,34.7,62.28,41.05,46.52,68.49,2.27,82.96,51.82,39.71,47.77,49.06
262,John Wilson,STU0262,B.Tech AIDS,6.72,87.37,51.03,61.08,73.79,24.47,61.84,43.31,71.17,0.0,47.52,34.93
263,James Hebert,STU0263,B.Tech AIML,60.81,61.75,32.31,32.2,47.23,27.58,71.05,40.77,0.0,40.63,24.04,9.22
264,Jonathan Anderson,STU0264,B.Tech CSE,19.06,52.74,83.22,57.83,34.84,61.4,38.52,32.63,21.14,6.2,40.25,53.95
265,Stephanie Medina,STU0265,B.Tech AIDS,47.58,39.6,26.36,65.21,17.07,69.4,24.94,31.19,13.33,37.46,74.38,62.89
266,Curtis Booth,STU0266,B.Tech CSE,74.46,63.05,22.41,41.73,30.5,83.26,20.08,72.34,72.32,95.74,39.76,67.81
267,Amber Davis,STU0267,B.Tech AIDS,100.0,34.56,11.62,3.0,67.82,2.92,40.69,60.93,54.63,60.64,55.56,81.97
268,Adam Meyers,STU0268,B.Tech AIML,26.19,33.08,30.68,70.75,72.51,61.28,79.59,20.55,91.68,88.08,68.39,94.54
269,Charles Sellers,STU0269,B.Tech CSE,8.58,36.89,31.62,68.04,23.75,68.94,84.26,67.38,57.09,25.3,28.83,81.24
270,Julie Steele,STU0270,B.Tech AIML,69.48,49.02,39.55,0.0,23.23,97.79,17.99,54.74,75.19,18.63,54.62,73.45
271,Mrs. Kayla Price,STU0271,B.Tech AIML,50.31,100.0,8.29,76.47,45.68,69.3,61.03,31.67,55.72,3.55,65.08,57.45
272,Shane Short,STU0272,B.Tech AIML,65.97,76.45,59.19,53.7,27.97,32.19,79.67,85.91,44.05,51.15,27.38,79.32
273,Vanessa Mcguire,STU0273,B.Tech AIDS,66.64,98.53,28.04,40.55,55.79,66.16,44.61,28.18,72.04,68.03,27.09,83.89
274,Michael Cowan,STU0274,B.Tech AIML,79.25,53.36,51.99,63.85,28.46,50.75,0.0,71.91,10.96,87.59,41.75,44.71
275,Diane Hernandez,STU0275,B.Tech AIML,34.31,42.8,85.46,0.0,81.92,58.45,19.82,23.12,91.91,26.36,21.17,78.43
276,Dakota Carson,STU0276,B.Tech CSE,58.46,26.55,55.42,24.36,77.52,76.53,63.3,59.04,94.03,49.99,20.45,61.24
277,Anthony Jacobs,STU0277,B.Tech CSE,100.0,24.63,40.96,60.41,48.65,25.44,78.05,100.0,54.9,27.4,11.28,56.45
278,Ray Fitzgerald,STU0278,B.Tech CSE,77.6,61.88,49.94,35.27,22.7,70.87,72.84,11.36,89.75,64.35,84.99,16.45
279,Lisa Thomas,STU0279,B.Tech AIDS,15.85,46.28,62.57,94.91,67.65,43.93,24.34,80.75,25.88,90.71,42.89,89.76
280,Jasmine Adams,STU0280,B.Tech AIDS,66.97,46.58,37.02,41.48,60.71,51.93,35.15,45.86,51.96,0.0,61.45,25.51
281,Lucas Stone,STU0281,B.Tech CSE,21.17,7.82,5.15,16.11,32.27,98.83,36.85,54.44,60.01,53.28,48.06,20.12
282,Michelle David MD,STU0282,B.Tech CSE,86.27,95.18,7.93,24.4,43.0,25.89,62.65,31.79,100.0,79.76,55.31,75.67
283,Monica Hartman,STU0283,B.Tech AIML,77.65,35.9,29.59,51.95,71.54,53.48,10.58,29.93,48.15,48.11,99.31,15.35
284,Anita Ortiz,STU0284,B.Tech AIDS,62.64,87.23,100.0,39.89,62.29,64.24,54.89,47.53,60.9,0.0,67.05,53.15
285,Patrick Bentley,STU0285,B.Tech CSE,44.44,100.0,33.13,39.92,99.79,29.2,36.25,46.32,71.02,55.2,17.68,36.7
286,Colleen Wilson,STU0286,B.Tech CSE,34.82,48.07,60.65,60.46,5.6,76.6,56.31,84.61,61.1,77.53,61.66,83.66
287,Valerie Hansen,STU0287,B.Tech CSE,63.06,47.55,100.0,72.23,64.34,18.09,17.79,57.32,53.64,34.65,53.52,89.72
288,Paul Hall,STU0288,B.Tech CSE,67.39,21.47,47.21,29.88,40.31,39.66,38.06,18.62,46.81,35.98,0.0,100.0
289,David Johnson,STU0289,B.Tech AIDS,77.22,40.59,50.47,20.71,92.39,97.43,53.92,75.59,54.38,16.58,39.7,53.3
290,Jacob Chapman,STU0290,B.Tech AIML,38.64,44.53,47.72,47.98,51.31,23.48,32.07,17.89,74.45,0.0,78.84,84.66
291,Carrie Jones,STU0291,B.Tech AIDS,42.45,0.0,40.97,48.4,24.74,37.12,88.25,66.62,26.89,10.06,41.82,44.66
292,Jessica Reyes,STU0292,B.Tech AIML,62.4,36.62,62.79,98.38,70.39,48.8,45.42,41.08,79.52,34.32,51.13,51.28
293,James Leon,STU0293,B.Tech CSE,37.46,15.69,58.07,48.47,62.51,36.66,80.52,28.08,92.8,6.31,60.87,61.89
294,Diane Williams,STU0294,B.Tech AIML,30.11,60.61,81.99,0.0,62.57,0.0,25.86,90.73,35.46,20.65,45.05,100.0
295,Robin Gomez,STU0295,B.Tech CSE,4.21,23.72,87.44,96.44,47.41,19.02,100.0,89.86,66.97,29.69,48.77,45.99
296,Chris Smith,STU0296,B.Tech CSE,58.27,86.28,71.99,23.07,84.41,57.83,67.18,86.66,22.21,49.1,36.71,10.8
297,James Graham,STU0297,B.Tech AIDS,58.67,100.0,4.0,49.19,66.01,53.08,47.17,17.52,55.82,31.08,0.0,79.86
298,Bonnie Johnson,STU0298,B.Tech CSE,73.96,51.29,55.73,76.86,55.61,72.6,42.56,82.8,58.02,54.85,18.25,57.17
299,Michael Williams,STU0299,B.Tech AIDS,29.2,34.04,29.62,23.34,100.0,83.28,98.01,19.43,51.78,17.66,32.61,27.05
300,Cassandra Simpson,STU0300,B.Tech AIML,80.99,40.09,76.71,65.1,100.0,13.01,81.48,78.66,25.67,75.18,58.4,44.31
301,Elizabeth Thomas,STU0301,B.Tech AIML,29.4,32.02,100.0,50.02,69.55,30.23,30.5,77.05,16.26,39.62,50.85,52.78
302,Sean Kelly,STU0302,B.Tech CSE,45.52,59.9,67.32,68.37,25.35,42.9,79.87,72.37,15.68,58.79,0.54,51.17
303,Christian Burke,STU0303,B.Tech CSE,97.44,26.3,29.14,69.1,11.43,34.18,64.91,34.14,44.1,68.6,60.54,56.67
304,Jennifer Smith DVM,STU0304,B.Tech AIML,41.52,59.25,46.91,61.45,37.58,45.44,25.25,49.12,29.72,22.15,56.47,55.32
305,Casey Baker,STU0305,B.Tech CSE,69.57,39.22,60.2,63.77,61.12,29.36,53.73,59.1,50.18,0.0,54.01,100.0
306,Heather Stewart,STU0306,B.Tech CSE,41.0,31.8,59.33,57.81,79.82,18.55,68.28,64.76,46.45,58.47,75.74,71.81
307,Anne Mendoza,STU0307,B.Tech AIDS,21.42,70.5,48.38,51.82,51.83,46.24,79.79,47.91,22.01,40.16,54.47,80.73
308,Luis Hawkins,STU0308,B.Tech CSE,65.08,28.74,100.0,56.62,81.88,46.21,63.33,70.99,80.45,76.43,71.8,42.12
309,Anthony Cortez,STU0309,B.Tech AIDS,35.71,58.32,73.33,44.43,76.63,86.32,27.09,29.08,46.49,57.69,36.89,83.81
310,Hayley Eaton,STU0310,B.Tech CSE,60.6,50.99,14.1,17.1,57.03,0.0,75.32,46.05,100.0,100.0,45.46,47.34
311,Gary Walker,STU0311,B.Tech AIML,74.89,92.58,9.05,5.34,34.45,64.57,62.42,76.74,20.01,0.0,71.45,29.3
312,Douglas Deleon,STU0312,B.Tech CSE,0.0,53.63,69.83,46.95,38.55,46.02,40.74,16.3,32.13,63.03,58.04,54.2
313,David Williams,STU0313,B.Tech AIML,25.12,45.46,0.0,54.46,85.72,13.15,35.35,58.23,81.32,38.79,32.69,0.78
314,Jeffrey Murphy,STU0314,B.Tech AIML,52.59,100.0,56.93,49.44,58.05,49.72,29.67,70.58,55.64,50.44,25.62,82.59
315,Heather Martinez,STU0315,B.Tech AIDS,66.62,36.18,75.05,37.56,30.45,31.01,5.72,61.79,4.22,19.29,0.0,47.85
316,Jillian Juarez,STU0316,B.Tech CSE,46.24,41.83,23.94,20.69,61.61,36.24,57.91,27.87,54.53,82.58,64.65,39.69
317,Lacey Lowe,STU0317,B.Tech AIDS,56.43,43.98,50.2,41.86,45.89,55.3,25.17,24.6,15.29,9.99,19.57,53.99
318,Jeanne Morris,STU0318,B.Tech AIML,27.68,62.84,50.87,0.79,66.37,70.27,25.15,60.5,28.59,52.44,18.39,5.17
319,Christian Watson,STU0319,B.Tech CSE,40.43,46.91,40.06,20.4,40.0,56.73,48.88,54.56,33.25,79.29,20.6,62.19
320,Jennifer Lowery,STU0320,B.Tech AIML,79.55,62.02,44.94,36.79,75.9,14.43,25.75,40.06,80.94,59.49,25.8,42.24
321,April Carter,STU0321,B.Tech CSE,34.64,32.26,74.47,15.71,90.22,70.71,77.27,38.43,46.25,14.17,36.88,62.34
322,Cory Valdez,STU0322,B.Tech AIML,82.4,22.32,40.86,46.22,15.11,64.78,31.9,45.12,38.7,30.27,49.82,44.61
323,Steve Simmons DDS,STU0323,B.Tech AIML,40.7,31.79,57.99,91.34,53.5,74.9,15.24,53.94,22.57,13.08,31.52,79.8
324,Amanda Gordon,STU0324,B.Tech AIDS,73.75,56.08,11.68,45.09,57.54,54.39,3.91,27.74,48.4,63.41,0.0,45.95
325,Sarah Keith,STU0325,B.Tech AIML,53.58,71.24,67.32,64.56,30.0,2.3,40.17,75.04,84.84,67.76,60.73,59.49
326,Jennifer Bishop,STU0326,B.Tech CSE,36.1,46.75,91.73,26.44,90.37,41.95,83.14,14.83,64.65,31.58,14.62,55.46
327,Frederick Baker MD,STU0327,B.Tech AIML,75.24,28.88,12.52,47.7,47.81,63.71,73.74,48.51,96.39,55.61,41.34,9.71
328,Michael Villegas,STU0328,B.Tech CSE,43.43,41.59,74.01,61.56,20.52,54.31,66.79,88.2,72.19,69.02,51.5,59.71
329,Candice Chandler,STU0329,B.Tech AIML,81.24,16.68,41.26,30.69,59.48,80.76,35.08,0.0,39.69,72.84,63.44,60.7
330,Christina Ramirez,STU0330,B.Tech AIDS,43.0,18.02,62.88,29.14,100.0,64.26,35.48,34.72,47.68,44.01,77.92,54.66
331,Ray Goodwin,STU0331,B.Tech AIDS,31.71,97.26,51.23,69.22,34.79,59.08,57.78,2.76,100.0,82.27,40.07,22.44
332,Lisa Pugh,STU0332,B.Tech AIDS,58.69,52.17,58.89,54.79,62.66,86.18,64.2,23.76,84.06,91.02,100.0,21.91
333,Roy Hudson,STU0333,B.Tech AIDS,56.07,0.0,63.83,36.29,98.09,30.63,7.77,38.22,0.61,68.78,0.0,50.71
334,Michele Dickson,STU0334,B.Tech AIDS,0.0,41.99,91.08,59.02,28.41,49.22,50.45,61.82,15.83,64.81,0.0,34.25
335,William Lee,STU0335,B.Tech AIDS,37.79,65.83,50.57,14.86,25.38,54.97,48.02,35.52,37.98,67.4,37.06,47.8
336,Wanda Martin,STU0336,B.Tech AIDS,100.0,14.41,3.7,69.59,33.03,42.04,30.47,43.5,89.96,70.05,71.56,14.59
337,Crystal Mcintosh,STU0337,B.Tech AIML,21.22,0.0,29.77,73.92,62.92,44.46,49.44,32.78,55.12,69.15,9.6,57.49
338,Justin Flores,STU0338,B.Tech AIDS,73.31,39.62,67.52,100.0,47.39,59.83,31.55,54.53,61.51,54.87,24.51,55.16
339,Dylan Jackson Jr.,STU0339,B.Tech AIDS,86.55,61.22,74.05,44.07,68.75,56.98,26.23,57.96,25.21,34.18,54.73,57.43
340,Wendy Beard,STU0340,B.Tech CSE,20.27,76.35,64.3,32.38,11.56,46.38,38.85,52.83,40.92,0.0,40.29,42.36
341,Janet Thomas,STU0341,B.Tech AIML,65.84,32.55,91.97,2.21,82.78,44.39,71.49,52.0,78.49,40.32,22.53,85.51
342,James Lucero,STU0342,B.Tech CSE,47.16,55.54,80.87,24.2,64.89,35.25,46.7,51.81,12.49,30.53,83.78,72.15
343,Samuel Maxwell,STU0343,B.Tech AIDS,48.43,56.08,42.64,83.91,44.99,55.8,78.65,30.57,88.97,11.74,90.74,40.68
344,Joseph Vaughn,STU0344,B.Tech CSE,43.93,2.75,38.63,24.0,34.81,46.57,73.94,55.19,57.69,22.61,27.98,94.97
345,Diana Conley,STU0345,B.Tech CSE,31.62,91.41,43.92,50.06,76.76,81.8,47.23,40.29,48.6,58.45,72.28,50.11
346,Logan Miller,STU0346,B.Tech CSE,65.47,90.96,59.53,57.79,12.03,0.0,59.71,47.63,37.13,56.09,48.49,78.19
347,Jacqueline Castillo,STU0347,B.Tech CSE,52.15,31.33,74.75,44.57,63.16,38.06,33.75,52.1,50.32,62.0,43.28,4.09
348,Zachary Stuart,STU0348,B.Tech AIDS,39.18,69.85,42.57,43.84,74.66,32.2,11.43,45.98,37.9,25.84,45.62,62.29
349,Jesse Rivera,STU0349,B.Tech CSE,49.77,57.67,95.34,41.43,56.96,37.27,28.84,35.38,38.03,58.99,100.0,32.1
350,Darren Dennis,STU0350,B.Tech CSE,39.58,48.42,59.89,56.59,82.1,0.0,0.0,37.6,77.43,10.86,0.0,64.28
351,Nancy Johnson,STU0351,B.Tech AIDS,56.09,22.74,25.36,25.76,52.76,34.34,62.35,0.0,28.58,21.85,43.59,36.55
352,Michael Potter,STU0352,B.Tech CSE,69.95,3.52,51.14,63.96,96.42,37.96,58.11,4.9,0.0,71.12,49.86,79.46
353,Gregory Hogan,STU0353,B.Tech AIML,15.66,63.0,96.72,60.49,56.91,50.21,10.73,83.89,34.73,62.61,10.92,20.51
354,Timothy Webb,STU0354,B.Tech AIDS,85.88,41.32,86.33,48.04,3.95,72.3,35.25,67.47,50.63,11.42,54.11,100.0
355,Elizabeth Powell,STU0355,B.Tech AIDS,62.32,48.56,76.88,55.27,55.24,22.71,55.85,75.89,29.1,85.61,47.71,27.81
356,Debra Booker,STU0356,B.Tech AIDS,74.94,42.83,68.99,42.71,48.5,62.34,57.27,0.11,21.97,73.24,46.7,36.91
357,Kevin Rodriguez,STU0357,B.Tech CSE,16.04,23.01,0.0,47.47,35.04,25.84,48.3,59.1,100.0,12.2,78.98,74.33
358,Tanner Mitchell,STU0358,B.Tech AIML,30.52,55.08,38.56,54.64,87.73,65.14,62.72,39.24,12.9,44.79,80.17,11.82
359,Glenn Moore,STU0359,B.Tech CSE,23.62,53.16,25.38,30.19,39.41,15.86,25.65,67.59,17.32,10.05,34.25,68.3
360,Emily Bright,STU0360,B.Tech AIML,45.08,38.39,51.11,6.36,62.37,59.59,39.77,75.15,21.81,78.2,53.86,41.59
361,Andrea Frank,STU0361,B.Tech AIDS,49.5,47.32,80.51,23.08,30.94,75.91,35.11,72.51,92.49,39.96,67.03,21.16
362,Dawn English,STU0362,B.Tech AIDS,68.87,54.99,61.83,33.86,8.47,62.58,0.0,42.07,73.53,54.8,98.71,75.63
363,Vanessa Bailey,STU0363,B.Tech CSE,33.65,50.68,48.82,10.45,26.49,35.98,0.0,51.19,43.77,8.18,60.11,67.9
364,Rebecca Williams,STU0364,B.Tech CSE,55.68,41.9,64.79,67.01,57.69,29.38,56.92,79.89,35.08,100.0,36.86,50.81
365,Gary Pratt,STU0365,B.Tech CSE,33.19,55.58,6.44,36.35,22.7,53.38,74.86,66.15,0.0,100.0,57.38,30.59
366,Jesse Rowe,STU0366,B.Tech CSE,53.93,54.4,33.33,54.95,34.81,39.89,32.84,14.18,53.65,64.63,62.87,70.5
367,Angela Massey,STU0367,B.Tech CSE,58.11,36.68,70.99,16.06,27.48,25.89,77.0,73.57,62.18,76.8,28.02,58.71
368,Dana Ortega,STU0368,B.Tech CSE,46.87,71.17,47.12,40.38,63.52,71.9,33.29,48.47,23.54,0.0,55.01,65.22
369,Corey Carlson,STU0369,B.Tech CSE,56.55,1.26,41.23,0.0,84.24,22.85,81.39,73.65,27.49,21.68,58.76,28.89
370,Dana Young,STU0370,B.Tech AIDS,52.56,37.93,5.47,0.0,55.67,35.96,36.17,67.4,79.34,43.19,41.49,62.5
371,Cassandra Atkins,STU0371,B.Tech AIDS,16.08,55.58,63.8,67.01,1.58,30.97,28.04,52.5,62.02,87.42,37.63,37.56
372,Scott Anderson,STU0372,B.Tech CSE,78.74,57.41,81.69,57.22,21.07,16.67,11.21,66.55,79.71,96.23,71.08,79.07
373,Michelle Lawson,STU0373,B.Tech CSE,35.5,21.09,71.25,60.44,52.69,59.68,58.08,82.1,82.37,63.61,71.15,62.85
374,Teresa Klein,STU0374,B.Tech AIML,38.47,68.91,15.14,76.35,20.14,57.15,28.87,63.83,49.15,10.13,60.52,35.55
375,Kevin Martin,STU0375,B.Tech CSE,72.03,50.03,59.89,26.06,35.27,38.53,71.42,91.93,29.87,76.92,0.0,20.15
376,Maria Williams,STU0376,B.Tech CSE,26.03,16.19,10.41,60.32,44.65,59.49,67.26,56.64,66.44,48.26,20.33,76.45
377,John Alexander,STU0377,B.Tech AIML,35.27,26.61,45.55,27.18,39.56,58.6,58.71,27.55,37.81,76.86,62.41,100.0
378,Paul Mccarthy,STU0378,B.Tech AIML,79.5,78.61,15.3,69.1,48.67,36.23,54.2,73.63,62.52,28.04,68.56,34.06
379,Diane Obrien,STU0379,B.Tech AIDS,55.42,42.42,44.53,69.16,24.0,98.63,4.47,35.06,59.26,64.61,47.49,48.57
380,Kelly Chambers,STU0380,B.Tech CSE,60.26,44.22,84.83,70.98,71.82,25.85,48.02,42.49,24.86,59.0,36.56,66.39
